n,method,threads,time
100,recursive,1,0.000000
100,recursive,1,0.000000
100,recursive,1,0.000000
100,recursive,8,0.003000
100,recursive,8,0.000000
100,recursive,8,0.000000
100,iterative,1,0.000000
100,iterative,1,0.000000
100,iterative,1,0.000000
100,iterative,8,0.001000
100,iterative,8,0.000000
100,iterative,8,0.001000
500,recursive,1,0.000000
500,recursive,1,0.000000
500,recursive,1,0.000000
500,recursive,8,0.000000
500,recursive,8,0.000000
500,recursive,8,0.000000
500,iterative,1,0.000000
500,iterative,1,0.001000
500,iterative,1,0.000000
500,iterative,8,0.000000
500,iterative,8,0.001000
500,iterative,8,0.000000
1000,recursive,1,0.001000
1000,recursive,1,0.000000
1000,recursive,1,0.000000
1000,recursive,8,0.000000
1000,recursive,8,0.000000
1000,recursive,8,0.000000
1000,iterative,1,0.001000
1000,iterative,1,0.000000
1000,iterative,1,0.000000
1000,iterative,8,0.000000
1000,iterative,8,0.001000
1000,iterative,8,0.001000
5000,recursive,1,0.000000
5000,recursive,1,0.001000
5000,recursive,1,0.001000
5000,recursive,8,0.001000
5000,recursive,8,0.000000
5000,recursive,8,0.001000
5000,iterative,1,0.001000
5000,iterative,1,0.000000
5000,iterative,1,0.001000
5000,iterative,8,0.001000
5000,iterative,8,0.001000
5000,iterative,8,0.001000
10000,recursive,1,0.001000
10000,recursive,1,0.002000
10000,recursive,1,0.001000
10000,recursive,8,0.002000
10000,recursive,8,0.001000
10000,recursive,8,0.002000
10000,iterative,1,0.001000
10000,iterative,1,0.002000
10000,iterative,1,0.001000
10000,iterative,8,0.001000
10000,iterative,8,0.001000
10000,iterative,8,0.001000
50000,recursive,1,0.008000
50000,recursive,1,0.008000
50000,recursive,1,0.007000
50000,recursive,8,0.003000
50000,recursive,8,0.002000
50000,recursive,8,0.002000
50000,iterative,1,0.007000
50000,iterative,1,0.007000
50000,iterative,1,0.007000
50000,iterative,8,0.006000
50000,iterative,8,0.003000
50000,iterative,8,0.002000
100000,recursive,1,0.015000
100000,recursive,1,0.014000
100000,recursive,1,0.014000
100000,recursive,8,0.005000
100000,recursive,8,0.005000
100000,recursive,8,0.006000
100000,iterative,1,0.013000
100000,iterative,1,0.014000
100000,iterative,1,0.014000
100000,iterative,8,0.008000
100000,iterative,8,0.008000
100000,iterative,8,0.007000
200000,recursive,1,0.028000
200000,recursive,1,0.028000
200000,recursive,1,0.028000
200000,recursive,8,0.008000
200000,recursive,8,0.009000
200000,recursive,8,0.009000
200000,iterative,1,0.028000
200000,iterative,1,0.028000
200000,iterative,1,0.029000
200000,iterative,8,0.014000
200000,iterative,8,0.013000
200000,iterative,8,0.014000
500000,recursive,1,0.074000
500000,recursive,1,0.074000
500000,recursive,1,0.075000
500000,recursive,8,0.023000
500000,recursive,8,0.021000
500000,recursive,8,0.022000
500000,iterative,1,0.074000
500000,iterative,1,0.073000
500000,iterative,1,0.073000
500000,iterative,8,0.024000
500000,iterative,8,0.025000
500000,iterative,8,0.023000
1000000,recursive,1,0.157000
1000000,recursive,1,0.153000
1000000,recursive,1,0.151000
1000000,recursive,8,0.043000
1000000,recursive,8,0.043000
1000000,recursive,8,0.044000
1000000,iterative,1,0.153000
1000000,iterative,1,0.150000
1000000,iterative,1,0.150000
1000000,iterative,8,0.043000
1000000,iterative,8,0.046000
1000000,iterative,8,0.043000
